IDEN;HOJA;MUNICIPIO;SITIO;NOMBRE;LAT;LON;PROP;CONST;PERF;ENTU;NIVEL;FENIV;GASTO;COTA;ND;DIAM1;REG;DIAM2;PBOMBEO;EPOZO;NORTE;ESTE;ACT_MASTER
ZU5878003A;6044;0205;LOS CAÑITOS;;938.0;7059.0;ACUERUR;;;;;  0866;;;;;;;;;1065515.56;282346.35;1994-01-18
ZU5878004A;6044;0202;SAN ROQUE;;93900.0;705900.0;IAN;;90.0;90.0;0.01;  1275;20.0;7.9;7.0;;;8.0;;;1067359.32;282357.05;1994-01-18
ZU5878005A;6044;0202;A C ALTO VIENTO;;93800.0;715830.0;IAN;;112.0;108.9;4.0;  0176;20.0;8.2;8.0;18.0;;8.0;;;1066304.66;173442.02;1994-01-18
ZU6179001A;5946;0301;SABANA DE MACHANGO;;1003.0;7103.0;ACUERUR;;70.0;70.0;18.5;  0962;8.0;15.0;30.0;;;8.0;;;1111654.91;275309.37;1994-01-18
ZU6179002A;5946;0301;SABANA DE MACHANGO;;1003.0;7103.0;ACUERUR;;182.0;182.0;20.0;  0962;9.0;15.0;28.0;;;;;;1111654.91;275309.37;1994-01-18
ZU6179003A;5946;0301;ALDEA GERONTOLOGICA;;100505.0;710709.0;VALMORE RODRIGUEZ;781.0;170.0;170.0;;;;22.0;;8.0;;;;;1115544.65;267749.98;1994-01-18
ZU5879005A;5944;0202;ASENT CAMPESINO SAN ROQUE I;;93830.0;710100.0;MAC;;114.0;100.5;2.9;  0980;21.0;2.2;9.0;24.0;;12.0;;;1066458.84;278692.32;1994-01-18
ZU5879006A;5944;0202;ASENT CAMPESINO SAN ROQUE II;;93830.0;710100.0;MAC;;122.0;117.0;3.5;  0880;15.0;2.2;16.0;24.0;;12.0;;;1066458.84;278692.32;1994-01-18
ZU5879007A;5944;0202;ASENT CAMPESINO SAN ROQUE III;;93830.0;710100.0;MAC;;115.9;96.2;3.74;  1080;19.0;2.2;10.0;24.0;;12.0;;;1066458.84;278692.32;1994-01-18
ZU5879008A;5944;0202;ASENT CAMPESINO SAN ROQUE IV;;93830.0;710100.0;MAC;;102.0;87.5;4.2;  0381;19.0;2.2;10.0;26.0;;12.0;;;1066458.84;278692.32;1994-01-18
ZU5879009A;5944;0202;ASENT CAMPESINO SAN ROQUE V;;93830.0;710100.0;MAC;;99.0;99.0;2.5;  0281;19.0;2.2;6.0;;;;;;1066458.84;278692.32;1994-01-18
ZU5879010A;5944;0202;ASENT CAMPESINO SAN ROQUE VI;;93830.0;710100.0;MAC;;102.0;102.0;1.7;  0281;21.0;2.2;7.5;;;;;;1066458.84;278692.32;1994-01-18
ZU5879012A;5944;0202;ASENT CAMPESINO SAN ROQUE VIII;;93830.0;710100.0;MAC;;107.0;107.0;2.1;  0381;19.0;2.2;12.5;;;;;;1066458.84;278692.32;1994-01-18
ZU5879013A;5944;0202;ASENT CAMPESINO SAN ROQUE IX;;93830.0;710100.0;MAC;;102.8;98.5;1.75;  0181;10.0;2.2;28.0;24.0;;12.0;;;1066458.84;278692.32;1994-01-18
ZU5879014A;5944;0202;ASENT CAMPESINO SAN ROQUE X;;93830.0;710100.0;MAC;;105.0;85.5;3.07;  1180;10.0;2.2;22.0;24.0;;12.0;;;1066458.84;278692.32;1994-01-18
ZU5879015A;5944;0202;TOMOPORO;;93730.0;710230.0;IAN;;132.0;124.0;0.01;  1275;14.0;1.6;14.0;;;8.0;;;1064631.31;275936.74;1994-01-18
ZU5879016A;5944;0202;TOMOPORO DE TIERRA;;93700.0;710300.0;IAN;;99.0;99.0;0.01;  0776;20.0;1.2;4.0;;;8.0;;;1063714.86;275016.31;1994-01-18
