"IDEN";"HOJA";"MUNICIPIO";"SITIO";"NOMBRE";"LAT";"LON";"PROP";"CONST";"PERF";"ENTU";"NIVEL";"FENIV";"GASTO";"COTA";"ND";"DIAM1";"REG";"DIAM2";"PBOMBEO";"EPOZO";"NORTE";"ESTE";"ACT_MASTER"
"ZU5878003A";"6044";"0205";"LOS CAÑITOS";;"0938";"7059";"ACUERUR";;;;;"  0866";;;;;;;;;"1065515.56";" 282346.35";18/1/1994 0:00:00
"ZU5878004A";"6044";"0202";"SAN ROQUE";;"093900";"705900";"IAN";;"  90.0";"  90.0";"   0.01";"  1275";" 20";"   7.90";"   7.00";;;"  8";;;"1067359.32";" 282357.05";18/1/1994 0:00:00
"ZU5878005A";"6044";"0202";"A C ALTO VIENTO";;"093800";"715830";"IAN";;" 112.0";" 108.9";"   4.00";"  0176";" 20";"   8.20";"   8.00";" 18";;"  8";;;"1066304.66";" 173442.02";18/1/1994 0:00:00
"ZU6179001A";"5946";"0301";"SABANA DE MACHANGO";;"1003";"7103";"ACUERUR";;"  70.0";"  70.0";"  18.50";"  0962";"  8";"  15.00";"  30.00";;;"  8";;;"1111654.91";" 275309.37";18/1/1994 0:00:00
"ZU6179002A";"5946";"0301";"SABANA DE MACHANGO";;"1003";"7103";"ACUERUR";;" 182.0";" 182.0";"  20.00";"  0962";"  9";"  15.00";"  28.00";;;;;;"1111654.91";" 275309.37";18/1/1994 0:00:00
"ZU6179003A";"5946";"0301";"ALDEA GERONTOLOGICA";;"100505";"710709";"VALMORE RODRIGUEZ";"0781";" 170.0";" 170.0";;;;"  22.00";;"  8";;;;;"1115544.65";" 267749.98";18/1/1994 0:00:00
"ZU5879005A";"5944";"0202";"ASENT CAMPESINO SAN ROQUE I";;"093830";"710100";"MAC";;" 114.0";" 100.5";"   2.90";"  0980";" 21";"   2.20";"   9.00";" 24";;" 12";;;"1066458.84";" 278692.32";18/1/1994 0:00:00
"ZU5879006A";"5944";"0202";"ASENT CAMPESINO SAN ROQUE II";;"093830";"710100";"MAC";;" 122.0";" 117.0";"   3.50";"  0880";" 15";"   2.20";"  16.00";" 24";;" 12";;;"1066458.84";" 278692.32";18/1/1994 0:00:00
"ZU5879007A";"5944";"0202";"ASENT CAMPESINO SAN ROQUE III";;"093830";"710100";"MAC";;" 115.9";"  96.2";"   3.74";"  1080";" 19";"   2.20";"  10.00";" 24";;" 12";;;"1066458.84";" 278692.32";18/1/1994 0:00:00
"ZU5879008A";"5944";"0202";"ASENT CAMPESINO SAN ROQUE IV";;"093830";"710100";"MAC";;" 102.0";"  87.5";"   4.20";"  0381";" 19";"   2.20";"  10.00";" 26";;" 12";;;"1066458.84";" 278692.32";18/1/1994 0:00:00
