"IDEN";"ANO";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"ACT_NIVEL"
"AN5135001N";"1971";;;;;;;;;;" 21.36";" 22.03";" 22.30";18/1/1994 0:00:00
"AN5135001N";"1972";" 21.92";" 21.90";" 22.25";" 22.34";" 22.48";" 22.40";" 22.50";" 22.64";" 22.68";" 22.81";" 22.90";" 22.85";18/1/1994 0:00:00
"AN5135001N";"1973";" 22.97";" 23.09";" 23.11";" 23.19";" 22.82";" 23.30";" 23.18";" 23.41";" 22.46";" 23.50";" 23.59";" 23.57";18/1/1994 0:00:00
"AN5135001N";"1974";" 23.74";;;;;;;;;;;;18/1/1994 0:00:00
"AN5135001N";"1977";" 25.46";" 25.43";" 24.64";" 25.48";" 25.52";" 25.57";" 25.62";" 25.64";;" 25.85";" 25.67";" 25.78";18/1/1994 0:00:00
"AN5135001N";"1978";" 25.87";" 24.79";" 24.77";;" 24.85";" 25.53";" 25.88";" 25.94";" 26.61";" 25.95";" 25.68";" 25.51";18/1/1994 0:00:00
"AN5135001N";"1979";;;" 24.68";" 25.71";" 25.65";" 25.32";" 25.44";;;" 25.27";" 24.95";;18/1/1994 0:00:00
"AN5135001N";"1980";;" 24.82";" 24.68";;" 24.68";" 24.60";;;" 23.53";" 22.74";" 22.34";;18/1/1994 0:00:00
"AN5135001N";"1981";" 21.97";" 21.97";;;" 22.08";" 22.39";;" 22.54";;" 22.41";;;18/1/1994 0:00:00
"AN5135001N";"1982";;;;;" 22.41";" 21.97";" 22.04";;;;;;18/1/1994 0:00:00
"AN5135001N";"1983";;" 22.28";" 22.28";" 22.36";;;;;;;;;18/1/1994 0:00:00
"AN5135001N";"1986";;;;;;;" 23.24";" 23.45";" 23.50";" 23.50";" 23.52";" 23.54";18/1/1994 0:00:00
"AN5135001N";"1987";" 23.69";" 23.64";" 23.70";;" 23.76";;" 23.71";" 23.90";" 23.98";" 23.72";" 23.75";" 23.38";18/1/1994 0:00:00
"AN5135001N";"1988";" 23.17";" 23.18";;;" 23.36";" 23.49";;;;;;;18/5/1994 0:00:00
"AN5135002X";"1980";;;;;" 42.28";" 42.19";;;" 41.57";" 40.90";" 40.44";" 40.06";18/1/1994 0:00:00
"AN5135002X";"1981";" 39.82";" 39.55";;;" 39.22";" 39.78";;" 39.78";;" 40.08";;;18/1/1994 0:00:00
"AN5135002X";"1982";;;;;" 39.14";" 38.90";" 38.90";;;;;;18/1/1994 0:00:00
"AN5135002X";"1983";;" 39.53";" 39.55";" 39.62";;;;;;;;;18/1/1994 0:00:00
"AN5135002X";"1986";;;;;;;" 40.99";" 41.34";;" 41.25";" 41.31";" 41.22";18/1/1994 0:00:00
"AN5135002X";"1987";" 41.40";" 41.30";" 41.38";;" 41.43";;" 41.53";" 41.44";" 41.48";" 41.45";" 41.70";" 41.64";18/1/1994 0:00:00
"AN5135002X";"1988";" 41.71";" 41.58";;;" 41.55";" 41.43";;;;;;;18/1/1994 0:00:00
"AN5135002Y";"1980";;;;;" 41.98";" 41.89";;;" 41.27";" 40.58";" 40.10";" 39.75";18/1/1994 0:00:00
"AN5135002Y";"1981";" 39.49";" 39.51";;;" 38.95";" 39.44";;" 39.45";;" 39.72";;;18/1/1994 0:00:00
"AN5135002Y";"1982";;;;;" 38.79";" 38.57";" 38.59";;;;;;18/1/1994 0:00:00
"AN5135002Y";"1983";;" 39.17";" 39.18";" 39.25";;;;;;;;;18/1/1994 0:00:00
"AN5135002Y";"1986";;;;;;;" 40.62";" 41.00";;" 40.95";" 41.05";" 40.91";18/1/1994 0:00:00
"AN5135002Y";"1987";" 41.10";" 41.00";" 41.11";;" 41.40";;" 41.18";" 41.14";" 41.15";" 41.13";" 41.55";" 41.45";18/1/1994 0:00:00
"AN5135002Y";"1988";" 41.40";" 41.30";;;" 41.22";" 41.12";;;;;;;18/1/1994 0:00:00
"AN5234001N";"1979";;;" 22.48";;;;;;;;" 22.97";;18/1/1994 0:00:00
"AN5234001N";"1980";;" 22.54";" 22.48";;" 22.68";" 22.60";;;;" 21.60";" 21.13";" 21.00";18/1/1994 0:00:00
"AN5234001N";"1981";" 20.95";" 20.95";;;" 21.10";" 21.42";;" 21.32";;" 20.53";;;18/1/1994 0:00:00
"AN5234001N";"1982";;;;;" 20.82";" 20.70";" 20.58";;;;;;18/1/1994 0:00:00
"AN5234001N";"1983";;" 21.50";" 21.40";" 21.49";;;;;;;;;18/1/1994 0:00:00
"AN5234001N";"1986";;;;;;;" 21.72";;;" 22.03";" 21.83";" 21.81";18/1/1994 0:00:00
"AN5234001N";"1987";" 21.93";" 21.82";;;" 21.92";;;;;;;;18/1/1994 0:00:00
"AN5234002X";"1980";;;;;;"  8.45";;;"  8.18";"  7.75";"  7.61";"  7.49";18/1/1994 0:00:00
"AN5234002X";"1981";"  7.42";"  7.35";;;"  7.25";"  7.42";;"  7.30";;"  7.03";;;18/1/1994 0:00:00
"AN5234002X";"1982";;;;;"  6.87";"  5.90";"  6.69";;;;;;18/1/1994 0:00:00
"AN5234002X";"1983";;"  7.14";"  7.16";"  7.24";;;;;;;;;18/1/1994 0:00:00
"AN5234002X";"1986";;;;;;;;"  7.52";;"  7.50";"  7.57";"  7.54";18/1/1994 0:00:00
"AN5234002X";"1987";"  7.58";"  7.50";"  7.46";;"  7.44";;;;;;;;18/1/1994 0:00:00
"AN5234002Y";"1980";;;;;;"  7.76";;;"  7.45";"  7.06";"  6.90";"  6.72";18/1/1994 0:00:00
"AN5234002Y";"1981";"  6.66";"  6.56";;;"  6.63";"  6.70";;"  6.65";;"  6.30";;;18/1/1994 0:00:00
"AN5234002Y";"1982";;;;;"  6.10";"  6.00";"  6.00";;;;;;18/1/1994 0:00:00
"AN5234002Y";"1983";;"  6.40";"  6.46";"  6.52";;;;;;;;;18/1/1994 0:00:00
"AN5234002Y";"1986";;;;;;;;"  6.86";;"  6.90";"  6.81";"  6.87";18/1/1994 0:00:00
"AN5234002Y";"1987";"  6.90";"  6.79";"  6.83";;"  6.69";;;;;;;;18/1/1994 0:00:00
